Species,    Time Code,                latitude,                 longitude,                flux,                     flux_std,                 flux_std_bs,              start_fit,                end_fit,                  conc_factor,              fit_method,               analyzer_temperature,     analyzer_pressure,        chamber_temperature,      chamber_pressure,         Comment
CH4,        2023/11/09 10:07:32,      0.0,                      0.0,                      3.2320701572e-10,         7.26652386296e-12,        3.23901875887e-12,        1699524015.74,            1699524318.26,            ppm,                      Linear,                   28.0109195709,            739.247375488,            20.0,                     757.0,                    S1_VA_P2_plot07 
CO2,        2023/11/09 10:13:55,      0.0,                      0.0,                      -1.1432174727e-06,        7.75314913303e-09,        4.21551743148e-09,        1699524462.59,            1699524785.5,             ppm,                      Linear,                   28.2590885162,            734.917358398,            20.0,                     757.0,                    
CH4,        2023/11/09 10:13:55,      0.0,                      0.0,                      -2.39766874361e-10,       9.19102847047e-11,        1.85911013741e-11,        1699524462.59,            1699524785.5,             ppm,                      Linear,                   28.2590885162,            734.917358398,            20.0,                     757.0,                    S1_VA_P2_plot8
CO2,        2023/11/09 10:20:46,      0.0,                      0.0,                      1.51110345617e-07,        4.07510274274e-09,        2.65974572378e-09,        1699524857.9,             1699525195.85,            ppm,                      Linear,                   28.484582901,             737.592102051,            20.0,                     757.0,                    
CH4,        2023/11/09 10:20:46,      0.0,                      0.0,                      -1.35345897523e-10,       7.79438512614e-11,        2.04503767433e-11,        1699524857.9,             1699525195.85,            ppm,                      Linear,                   28.484582901,             737.592102051,            20.0,                     757.0,                    S1_VA_P2_plot9
CO2,        2023/11/09 10:35:33,      0.0,                      0.0,                      -9.20527916852e-07,       7.115196793e-09,          3.27991899376e-09,        1699525669.6,             1699525993.59,            ppm,                      Linear,                   28.9523258209,            738.334899902,            20.0,                     757.0,                    
CH4,        2023/11/09 10:35:33,      0.0,                      0.0,                      1.32434520156e-10,        2.8816237801e-11,         1.23739234918e-11,        1699525669.6,             1699525993.59,            ppm,                      Linear,                   28.9523258209,            738.334899902,            20.0,                     757.0,                    S1_VA_P2_PLOT10
CO2,        2023/11/09 10:44:31,      0.0,                      0.0,                      7.27998890149e-07,        2.24805085671e-09,        1.19765250878e-09,        1699526205.99,            1699526561.21,            ppm,                      Linear,                   29.246881485,             738.138977051,            20.0,                     757.0,                    
CH4,        2023/11/09 10:44:31,      0.0,                      0.0,                      4.53551315426e-10,        6.58666697933e-12,        2.88238180714e-12,        1699526205.99,            1699526561.21,            ppm,                      Linear,                   29.246881485,             738.138977051,            20.0,                     757.0,                    S1_VA_P2_plot11
CO2,        2023/11/09 10:50:49,      0.0,                      0.0,                      2.71823044848e-07,        1.89776326053e-09,        9.08701398914e-10,        1699526681.29,            1699526985.13,            ppm,                      Linear,                   29.4434337616,            739.127746582,            20.0,                     757.0,                    
CH4,        2023/11/09 10:50:49,      0.0,                      0.0,                      4.94180676509e-10,        8.48572213768e-12,        4.33125523414e-12,        1699526681.29,            1699526985.13,            ppm,                      Linear,                   29.4434337616,            739.127746582,            20.0,                     757.0,                    S1_VA_P2_plot12
CO2,        2023/11/09 11:02:37,      0.0,                      0.0,                      1.21852545127e-07,        9.73373249768e-10,        4.22132814143e-10,        1699527295.59,            1699527661.25,            ppm,                      Linear,                   29.7891483307,            737.435852051,            20.0,                     757.0,                    
CH4,        2023/11/09 11:02:37,      0.0,                      0.0,                      -6.34000539088e-11,       6.38710735439e-12,        3.63302772326e-12,        1699527295.59,            1699527661.25,            ppm,                      Linear,                   29.7891483307,            737.435852051,            20.0,                     757.0,                    S1_VA_P2_plot13
CO2,        2023/11/09 11:15:58,      0.0,                      0.0,                      -7.65713892854e-07,       6.14441032469e-09,        2.93675786009e-09,        1699528200.41,            1699528503.68,            ppm,                      Linear,                   30.3890323639,            738.245910645,            20.0,                     757.0,                    
CH4,        2023/11/09 11:15:58,      0.0,                      0.0,                      -5.35910871691e-10,       1.66131241476e-11,        7.53946391946e-12,        1699528200.41,            1699528503.68,            ppm,                      Linear,                   30.3890323639,            738.245910645,            20.0,                     757.0,                    S1_VA_P2_plot14
CO2,        2023/11/09 11:24:21,      0.0,                      0.0,                      -1.39333222645e-07,       2.54970762317e-09,        9.19269414982e-10,        1699528571.97,            1699528997.55,            ppm,                      Linear,                   30.8169803619,            738.349731445,            20.0,                     757.0,                    
CH4,        2023/11/09 11:24:21,      0.0,                      0.0,                      1.5530072977e-10,         4.78436659779e-12,        3.12202463584e-12,        1699528571.97,            1699528997.55,            ppm,                      Linear,                   30.8169803619,            738.349731445,            20.0,                     757.0,                    S1_VA_P2_plot15
CO2,        2023/11/09 11:34:42,      0.0,                      0.0,                      -3.70276694045e-06,       2.80859807568e-08,        1.664899681e-08,          1699529287.4,             1699529590.45,            ppm,                      Linear,                   31.3891239166,            734.568847656,            20.0,                     757.0,                    
CH4,        2023/11/09 11:34:42,      0.0,                      0.0,                      -8.77254329384e-11,       1.04921011285e-11,        6.13795475649e-12,        1699529287.4,             1699529590.45,            ppm,                      Linear,                   31.3891239166,            734.568847656,            20.0,                     757.0,                    S1_VA_P2_plot16
CO2,        2023/11/09 11:41:01,      0.0,                      0.0,                      1.42216291844e-06,        2.58455372554e-09,        1.41953833621e-09,        1699529705.37,            1699530018.08,            ppm,                      Linear,                   31.8114566803,            730.909301758,            20.0,                     757.0,                    
CH4,        2023/11/09 11:41:01,      0.0,                      0.0,                      1.05374784391e-10,        9.96266810066e-12,        9.22631525389e-12,        1699529705.37,            1699530018.08,            ppm,                      Linear,                   31.8114566803,            730.909301758,            20.0,                     757.0,                    S1_VA_P2_plot17
CO2,        2023/11/09 11:52:50,      0.0,                      0.0,                      2.24408787872e-07,        3.78952114051e-09,        1.42987337084e-09,        1699530334.09,            1699530723.3,             ppm,                      Linear,                   32.4647140503,            729.961547852,            20.0,                     757.0,                    
CH4,        2023/11/09 11:52:50,      0.0,                      0.0,                      1.08907974658e-11,        4.82445438965e-11,        4.77711427886e-11,        1699530334.09,            1699530723.3,             ppm,                      Linear,                   32.4647140503,            729.961547852,            20.0,                     757.0,                    S1_VA_P2_plot18
CO2,        2023/11/09 12:00:10,      0.0,                      0.0,                      -4.60219654069e-06,       4.95906865622e-08,        2.54596851e-08,           1699530877.0,             1699531129.38,            ppm,                      Linear,                   32.7641983032,            728.488037109,            20.0,                     757.0,                    
CH4,        2023/11/09 12:00:10,      0.0,                      0.0,                      1.18758953577e-09,        4.12476526008e-11,        1.3052465575e-11,         1699530877.0,             1699531129.38,            ppm,                      Linear,                   32.7641983032,            728.488037109,            20.0,                     757.0,                    S1_VA_P2_plot19
CO2,        2023/11/09 12:06:26,      0.0,                      0.0,                      1.56069543793e-06,        4.5834287381e-09,         2.68778523082e-09,        1699531277.19,            1699531550.35,            ppm,                      Linear,                   33.01927948,              736.756103516,            20.0,                     757.0,                    
CH4,        2023/11/09 12:06:26,      0.0,                      0.0,                      5.02920985978e-09,        1.04218220325e-10,        4.96316392873e-11,        1699531277.19,            1699531550.35,            ppm,                      Linear,                   33.01927948,              736.756103516,            20.0,                     757.0,                    S1_VA_P2_plot20
CO2,        2023/11/09 12:56:22,      0.0,                      0.0,                      5.83240759076e-07,        2.43895734296e-09,        1.60492053e-09,           1699534054.08,            1699534393.2,             ppm,                      Linear,                   34.1924667358,            734.973510742,            20.0,                     757.0,                    
CH4,        2023/11/09 12:56:22,      0.0,                      0.0,                      -5.44818343357e-11,       5.53509453461e-12,        2.59172916158e-12,        1699534054.08,            1699534393.2,             ppm,                      Linear,                   34.1924667358,            734.973510742,            20.0,                     757.0,                    S1_VA_P2_plot21
CO2,        2023/11/09 13:03:05,      0.0,                      0.0,                      -1.03458658717e-06,       2.37833748446e-08,        2.2708675408e-08,         1699534623.26,            1699534922.85,            ppm,                      Linear,                   34.3588485718,            735.263183594,            20.0,                     757.0,                    
CH4,        2023/11/09 13:03:05,      0.0,                      0.0,                      -4.89050021543e-10,       2.66182996283e-11,        2.24901085448e-11,        1699534623.26,            1699534922.85,            ppm,                      Linear,                   34.3588485718,            735.263183594,            20.0,                     757.0,                    S1_VA_P2_plot22
CO2,        2023/11/09 13:09:24,      0.0,                      0.0,                      2.25663629096e-07,        2.37488469991e-09,        1.99999322386e-09,        1699535028.91,            1699535329.74,            ppm,                      Linear,                   34.461151123,             728.59375,                20.0,                     757.0,                    
CH4,        2023/11/09 13:09:24,      0.0,                      0.0,                      1.0287873542e-10,         2.33404970264e-11,        2.41735904918e-11,        1699535028.91,            1699535329.74,            ppm,                      Linear,                   34.461151123,             728.59375,                20.0,                     757.0,                    S1_VA_P2_plot23
CO2,        2023/11/09 13:16:46,      0.0,                      0.0,                      1.88721693209e-07,        3.09855887987e-09,        2.24350764796e-09,        1699535439.16,            1699535730.01,            ppm,                      Linear,                   34.5648841858,            736.229370117,            20.0,                     757.0,                    
CH4,        2023/11/09 13:16:46,      0.0,                      0.0,                      3.06886276146e-12,        5.61011393633e-12,        3.16564769469e-12,        1699535439.16,            1699535730.01,            ppm,                      Linear,                   34.5648841858,            736.229370117,            20.0,                     757.0,                    S1_VA_P2_plot24
CO2,        2023/11/09 13:27:38,      0.0,                      0.0,                      -3.41086831467e-08,       3.3204390246e-08,         1.01342895608e-08,        1699536026.55,            1699536331.38,            ppm,                      Linear,                   34.6888046265,            733.876037598,            20.0,                     757.0,                    
CH4,        2023/11/09 13:27:38,      0.0,                      0.0,                      -2.5187510924e-10,        1.30134655037e-11,        4.91016456842e-12,        1699536026.55,            1699536331.38,            ppm,                      Linear,                   34.6888046265,            733.876037598,            20.0,                     757.0,                    S1_VA_P2_plot25
CO2,        2023/11/09 13:34:26,      0.0,                      0.0,                      2.08310903779e-07,        1.40655909141e-09,        6.22839648044e-10,        1699536469.73,            1699536815.55,            ppm,                      Linear,                   34.7892990112,            736.063659668,            20.0,                     757.0,                    
CH4,        2023/11/09 13:34:26,      0.0,                      0.0,                      3.01919789043e-11,        5.30280877773e-12,        3.45053427049e-12,        1699536469.73,            1699536815.55,            ppm,                      Linear,                   34.7892990112,            736.063659668,            20.0,                     757.0,                    S1_VA_P2_plot26
CO2,        2023/11/09 13:44:47,      0.0,                      0.0,                      1.72717287009e-07,        1.9663779926e-09,         1.28249745129e-09,        1699537143.67,            1699537452.23,            ppm,                      Linear,                   34.874382019,             735.973571777,            20.0,                     757.0,                    
CH4,        2023/11/09 13:44:47,      0.0,                      0.0,                      -6.19772534451e-11,       9.07737901486e-12,        6.28713351405e-12,        1699537143.67,            1699537452.23,            ppm,                      Linear,                   34.874382019,             735.973571777,            20.0,                     757.0,                    S1_VA_P2_plot27
CO2,        2023/11/09 13:59:28,      0.0,                      0.0,                      -2.2872861535e-07,        1.25715800698e-08,        8.11129385883e-09,        1699538031.68,            1699538326.52,            ppm,                      Linear,                   34.9117050171,            737.648864746,            20.0,                     757.0,                    
CH4,        2023/11/09 13:59:28,      0.0,                      0.0,                      2.17211802658e-09,        1.29373085023e-10,        7.79439989265e-11,        1699538031.68,            1699538326.52,            ppm,                      Linear,                   34.9117050171,            737.648864746,            20.0,                     757.0,                    S1_VA_P2_plot28
CO2,        2023/11/09 14:05:51,      0.0,                      0.0,                      -9.12058234346e-08,       5.43663050584e-09,        2.14649871851e-09,        1699538390.68,            1699538701.13,            ppm,                      Linear,                   34.9332504272,            737.398498535,            20.0,                     757.0,                    
CH4,        2023/11/09 14:05:51,      0.0,                      0.0,                      1.1042963406e-09,         4.98350594252e-11,        3.99666566807e-11,        1699538390.68,            1699538701.13,            ppm,                      Linear,                   34.9332504272,            737.398498535,            20.0,                     757.0,                    S1_VA_P2_plot29
