Species,    Time Code,                latitude,                 longitude,                flux,                     flux_std,                 flux_std_bs,              start_fit,                end_fit,                  conc_factor,              fit_method,               analyzer_temperature,     analyzer_pressure,        chamber_temperature,      chamber_pressure,         Comment
CO2,        2023/11/07 11:44:14,      0.0,                      0.0,                      2.78516556285e-07,        4.40210513222e-09,        1.43841662394e-09,        1699357085.38,            1699357384.37,            ppm,                      Linear,                   28.6318473816,            742.356506348,            20.0,                     757.0,                    
CH4,        2023/11/07 11:44:14,      0.0,                      0.0,                      1.30852524061e-10,        6.60933431892e-12,        2.7855151351e-12,         1699357085.38,            1699357384.37,            ppm,                      Linear,                   28.6318473816,            742.356506348,            20.0,                     757.0,                    S1_VA_A1_plot07
CO2,        2023/11/07 12:07:38,      0.0,                      0.0,                      -1.69510894663e-06,       1.4784021314e-08,         3.48859010245e-09,        1699358487.51,            1699358789.73,            ppm,                      Linear,                   29.1058387756,            741.634521484,            20.0,                     757.0,                    
CH4,        2023/11/07 12:07:38,      0.0,                      0.0,                      -4.64783523887e-10,       6.95091251453e-12,        4.08614399262e-12,        1699358487.51,            1699358789.73,            ppm,                      Linear,                   29.1058387756,            741.634521484,            20.0,                     757.0,                    S1_VA_A1_PLOT08
CO2,        2023/11/07 12:13:34,      0.0,                      0.0,                      6.02677876327e-07,        8.81233473446e-09,        6.85314339363e-09,        1699358868.49,            1699359168.57,            ppm,                      Linear,                   29.2029056549,            741.760437012,            20.0,                     757.0,                    
CH4,        2023/11/07 12:13:34,      0.0,                      0.0,                      5.02231837162e-11,        6.4601484101e-12,         4.86146190357e-12,        1699358868.49,            1699359168.57,            ppm,                      Linear,                   29.2029056549,            741.760437012,            20.0,                     757.0,                    S1_VA_A1_plot09
CO2,        2023/11/07 12:23:18,      0.0,                      0.0,                      4.0714439049e-07,         3.78185921937e-09,        1.62708967839e-09,        1699359357.83,            1699359658.67,            ppm,                      Linear,                   29.2989139557,            741.639099121,            20.0,                     757.0,                    
CH4,        2023/11/07 12:23:18,      0.0,                      0.0,                      7.90248456973e-11,        1.38782854501e-11,        5.6347728246e-12,         1699359357.83,            1699359658.67,            ppm,                      Linear,                   29.2989139557,            741.639099121,            20.0,                     757.0,                    S1_VA_A1_PLOT10
CO2,        2023/11/07 12:43:08,      0.0,                      0.0,                      -5.03755804447e-08,       2.21539524621e-09,        9.91116506992e-10,        1699360486.14,            1699360847.39,            ppm,                      Linear,                   29.4872989655,            741.250610352,            20.0,                     757.0,                    
CH4,        2023/11/07 12:43:08,      0.0,                      0.0,                      -2.49630385275e-10,       8.30883901423e-12,        4.11095859522e-12,        1699360486.14,            1699360847.39,            ppm,                      Linear,                   29.4872989655,            741.250610352,            20.0,                     757.0,                    S1_VA_A1_PLOT011
CO2,        2023/11/07 12:50:42,      0.0,                      0.0,                      -2.02297100705e-07,       2.57492041997e-09,        1.10542653374e-09,        1699361073.38,            1699361399.2,             ppm,                      Linear,                   29.6268558502,            741.338745117,            20.0,                     757.0,                    
CH4,        2023/11/07 12:50:42,      0.0,                      0.0,                      -3.47542612356e-10,       1.01507421395e-11,        3.30563472319e-12,        1699361073.38,            1699361399.2,             ppm,                      Linear,                   29.6268558502,            741.338745117,            20.0,                     757.0,                    S1_VA_A1_PLOT012
CO2,        2023/11/07 12:58:28,      0.0,                      0.0,                      1.34434581925e-08,        6.38755607239e-09,        2.33839509531e-09,        1699361483.19,            1699361810.32,            ppm,                      Linear,                   29.7528934479,            741.202758789,            20.0,                     757.0,                    
CH4,        2023/11/07 12:58:28,      0.0,                      0.0,                      -1.70768360026e-10,       1.01169954317e-11,        5.56913117847e-12,        1699361483.19,            1699361810.32,            ppm,                      Linear,                   29.7528934479,            741.202758789,            20.0,                     757.0,                    S1_VA_A1_PLOT013
CO2,        2023/11/07 13:10:44,      0.0,                      0.0,                      -7.88902121467e-07,       1.39151894994e-08,        5.06443091286e-09,        1699362094.65,            1699362575.66,            ppm,                      Linear,                   29.9702396393,            733.811218262,            20.0,                     757.0,                    
CH4,        2023/11/07 13:10:44,      0.0,                      0.0,                      -6.60975634364e-11,       1.85606847489e-11,        6.75239604871e-12,        1699362094.65,            1699362575.66,            ppm,                      Linear,                   29.9702396393,            733.811218262,            20.0,                     757.0,                    S1_VA_A1_PLOT014
CO2,        2023/11/07 13:17:49,      0.0,                      0.0,                      1.04249647462e-07,        2.60892622085e-09,        7.54732786333e-10,        1699362652.94,            1699363015.91,            ppm,                      Linear,                   30.039270401,             740.982666016,            20.0,                     757.0,                    
CH4,        2023/11/07 13:17:49,      0.0,                      0.0,                      8.01878619651e-11,        6.77304834951e-12,        3.3933651169e-12,         1699362652.94,            1699363015.91,            ppm,                      Linear,                   30.039270401,             740.982666016,            20.0,                     757.0,                    S1_VA_A1_PLOT15
